Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.0
Upper Discriminator:	3
Lower Discriminator:	0
Calibration Coefficients:	5.204961216597666E-7	0.002380368409691405	0.0502018509354924
Calibration Channels:	244	430	486
Calibration Energies:	0.662	1.17	1.33
Elapsed Real Time:	189.45
Elapsed Live Time:	181.4
Start Time:	November 12, 2021, 04:06:17
End Time:	November 12, 2021, 04:09:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

2	769	852	31072	10323	37	2
3	151	201	62122	11326	29	0

Channel Data:
Channel	Energy	Counts
0	0.0502018509354924	0
1	0.05258273984130546	0
2	0.05496466973936184	0
3	0.05734764062966155	2
4	0.059731652512204574	0
5	0.06211670538699092	7
6	0.06450279925402058	5
7	0.06688993411329355	8
8	0.06927810996480986	13
9	0.07166732680856949	8
10	0.07405758464457242	14
11	0.07644888347281868	10
12	0.07884122329330825	14
13	0.08123460410604116	16
14	0.08362902591101737	17
15	0.08602448870823692	27
16	0.08842099249769977	145
17	0.09081853727940595	3584
18	0.09321712305335544	5116
19	0.09561674981954826	6024
20	0.0980174175779844	5903
21	0.10041912632866386	5622
22	0.10282187607158663	5402
23	0.10522566680675272	5327
24	0.10763049853416214	5562
25	0.11003637125381488	5772
26	0.11244328496571093	5799
27	0.1148512396698503	5471
28	0.11726023536623298	5070
29	0.119670272054859	4807
30	0.12208134973572833	4519
31	0.12449346840884098	4465
32	0.12690662807419695	4170
33	0.12932082873179623	3974
34	0.13173607038163887	3751
35	0.13415235302372477	3705
36	0.13656967665805403	3671
37	0.1389880412846266	3564
38	0.14140744690344248	3475
39	0.1438278935145017	3433
40	0.14624938111780422	3447
41	0.14867190971335006	3516
42	0.15109547930113923	3359
43	0.15352008988117172	3366
44	0.15594574145344753	3246
45	0.15837243401796663	3262
46	0.1608001675747291	3284
47	0.16322894212373484	3282
48	0.16565875766498395	3141
49	0.16808961419847634	3033
50	0.17052151172421207	3021
51	0.17295445024219108	2947
52	0.17538842975241348	2825
53	0.17782345025487914	2763
54	0.18025951174958812	2733
55	0.18269661423654046	2637
56	0.1851347577157361	2674
57	0.18757394218717505	2537
58	0.19001416765085732	2503
59	0.19245543410678295	2528
60	0.19489774155495185	2484
61	0.1973410899953641	2430
62	0.19978547942801966	2337
63	0.2022309098529185	2353
64	0.20467738127006072	2361
65	0.20712489367944623	2383
66	0.20957344708107506	2321
67	0.21202304147494722	2336
68	0.2144736768610627	2355
69	0.21692535323942147	2369
70	0.2193780706100236	2460
71	0.22183182897286902	2451
72	0.2242866283279578	2516
73	0.22674246867528985	2539
74	0.22919935001486524	2378
75	0.23165727234668396	2443
76	0.23411623567074596	2402
77	0.23657623998705132	2266
78	0.2390372852956	2220
79	0.24149937159639198	2182
80	0.24396249888942728	1968
81	0.24642666717470593	1901
82	0.24889187645222785	1905
83	0.2513581267219931	1861
84	0.2538254179840017	1798
85	0.2562937502382536	1790
86	0.25876312348474884	1760
87	0.2612335377234874	1737
88	0.26370499295446925	1718
89	0.26617748917769446	1725
90	0.26865102639316296	1606
91	0.27112560460087476	1568
92	0.2736012238008299	1592
93	0.27607788399302835	1643
94	0.27855558517747014	1573
95	0.28103432735415523	1552
96	0.2835141105230837	1555
97	0.2859949346842554	1501
98	0.2884767998376705	1396
99	0.2909597059833289	1497
100	0.29344365312123055	1378
101	0.2959286412513755	1394
102	0.2984146703737639	1423
103	0.3009017404883956	1368
104	0.30338985159527054	1383
105	0.3058790036943888	1335
106	0.3083691967857504	1288
107	0.3108604308693554	1328
108	0.31335270594520365	1282
109	0.3158460220132952	1272
110	0.3183403790736301	1246
111	0.3208357771262083	1236
112	0.3233322161710298	1187
113	0.3258296962080947	1212
114	0.32832821723740285	1148
115	0.33082777925895435	1153
116	0.3333283822727492	1186
117	0.33583002627878733	1168
118	0.33833271127706877	1083
119	0.3408364372675935	1173
120	0.3433412042503616	1145
121	0.345847012225373	1105
122	0.34835386119262773	1139
123	0.3508617511521258	1157
124	0.3533706821038672	1121
125	0.35588065404785185	1129
126	0.3583916669840798	1170
127	0.3609037209125512	1128
128	0.36341681583326585	1106
129	0.3659309517462238	1021
130	0.3684461286514251	1086
131	0.3709623465488697	1067
132	0.37347960543855757	1056
133	0.3759979053204888	1110
134	0.3785172461946634	1135
135	0.3810376280610813	1049
136	0.3835590509197425	1037
137	0.38608151477064706	1058
138	0.38860501961379484	1110
139	0.391129565449186	1004
140	0.3936551522768205	1046
141	0.3961817800966983	1015
142	0.39870944890881943	1032
143	0.40123815871318386	1071
144	0.40376790950979163	1022
145	0.40629870129864265	1065
146	0.4088305340797371	1049
147	0.4113634078530748	1042
148	0.41389732261865586	1076
149	0.4164322783764802	1059
150	0.4189682751265479	1171
151	0.42150531286885884	1140
152	0.42404339160341314	1101
153	0.4265825113302108	1123
154	0.42912267204925175	1064
155	0.43166387376053605	1103
156	0.43420611646406365	1194
157	0.4367494001598345	1168
158	0.43929372484784873	1147
159	0.4418390905281063	1132
160	0.4443854972006072	1133
161	0.4469329448653514	1200
162	0.44948143352233894	1094
163	0.45203096317156977	1167
164	0.45458153381304384	1184
165	0.4571331454467613	1203
166	0.45968579807272214	1217
167	0.46223949169092626	1206
168	0.4647942263013737	1262
169	0.46735000190406445	1261
170	0.46990681849899846	1288
171	0.4724646760861758	1355
172	0.4750235746655966	1256
173	0.4775835142372606	1319
174	0.48014449480116794	1293
175	0.4827065163573186	1343
176	0.48526957890571254	1355
177	0.48783368244634984	1377
178	0.4903988269792305	1451
179	0.4929650125043544	1361
180	0.4955322390217217	1378
181	0.4981005065313323	1340
182	0.5006698150331862	1332
183	0.5032401645272834	1286
184	0.505811555013624	1406
185	0.5083839864922077	1332
186	0.510957458963035	1361
187	0.5135319724261055	1371
188	0.5161075268814193	1290
189	0.5186841223289764	1352
190	0.5212617587687769	1366
191	0.5238404362008207	1236
192	0.5264201546251077	1210
193	0.5290009140416382	1221
194	0.5315827144504119	1169
195	0.534165555851429	1161
196	0.5367494382446893	1029
197	0.539334361630193	1032
198	0.54192032600794	976
199	0.5445073313779304	1019
200	0.547095377740164	905
201	0.5496844650946411	853
202	0.5522745934413613	811
203	0.5548657627803248	883
204	0.5574579731115319	850
205	0.560051224434982	852
206	0.5626455167506756	853
207	0.5652408500586126	792
208	0.5678372243587928	792
209	0.5704346396512163	776
210	0.5730330959358831	808
211	0.5756325932127933	852
212	0.5782331314819467	868
213	0.5808347107433436	864
214	0.5834373309969836	843
215	0.5860409922428671	807
216	0.5886456944809939	829
217	0.591251437711364	863
218	0.5938582219339774	797
219	0.5964660471488341	843
220	0.5990749133559341	893
221	0.6016848205552776	870
222	0.6042957687468642	866
223	0.6069077579306943	882
224	0.6095207881067675	872
225	0.6121348592750842	870
226	0.6147499714356441	864
227	0.6173661245884474	876
228	0.619983318733494	862
229	0.6226015538707839	803
230	0.6252208300003173	862
231	0.6278411471220937	848
232	0.6304625052361137	794
233	0.6330849043423767	835
234	0.6357083444408833	846
235	0.6383328255316332	948
236	0.6409583476146263	910
237	0.6435849106898628	781
238	0.6462125147573425	841
239	0.6488411598170658	815
240	0.6514708458690321	821
241	0.654101572913242	823
242	0.6567333409496949	809
243	0.6593661499783914	760
244	0.6619999999993311	809
245	0.6646348910125139	776
246	0.6672708230179405	716
247	0.6699077960156101	738
248	0.672545810005523	763
249	0.6751848649876795	770
250	0.677824960962079	765
251	0.680466097928722	724
252	0.6831082758876081	675
253	0.6857514948387378	689
254	0.6883957547821107	681
255	0.6910410557177269	672
256	0.6936873976455864	694
257	0.6963347805656894	702
258	0.6989832044780355	651
259	0.7016326693826249	656
260	0.7042831752794578	713
261	0.706934722168534	735
262	0.7095873100498535	649
263	0.7122409389234163	674
264	0.7148956087892224	704
265	0.7175513196472718	669
266	0.7202080714975645	678
267	0.7228658643401007	725
268	0.72552469817488	684
269	0.7281845730019025	640
270	0.7308454888211686	633
271	0.733507445632678	655
272	0.7361704434364307	703
273	0.7388344822324266	620
274	0.7414995620206659	692
275	0.7441656828011485	672
276	0.7468328445738746	699
277	0.7495010473388437	717
278	0.7521702910960564	647
279	0.7548405758455123	635
280	0.7575119015872114	696
281	0.7601842683211539	653
282	0.7628576760473398	593
283	0.7655321247657689	666
284	0.7682076144764416	647
285	0.7708841451793573	641
286	0.7735617168745166	618
287	0.7762403295619189	612
288	0.7789199832415648	603
289	0.7816006779134537	627
290	0.7842824135775861	620
291	0.7869651902339618	579
292	0.7896490078825809	647
293	0.7923338665234434	585
294	0.795019766156549	622
295	0.7977067067818979	586
296	0.8003946883994904	592
297	0.8030837110093259	576
298	0.8057737746114051	570
299	0.8084648792057272	594
300	0.8111570247922928	535
301	0.8138502113711017	563
302	0.8165444389421539	578
303	0.8192397075054496	524
304	0.8219360170609884	603
305	0.8246333676087707	584
306	0.8273317591487961	615
307	0.830031191681065	563
308	0.8327316652055772	586
309	0.8354331797223327	605
310	0.8381357352313314	579
311	0.8408393317325735	588
312	0.8435439692260591	537
313	0.8462496477117878	525
314	0.8489563671897598	509
315	0.8516641276599752	503
316	0.854372929122434	519
317	0.8570827715771361	515
318	0.8597936550240814	521
319	0.8625055794632701	536
320	0.8652185448947021	552
321	0.8679325513183773	521
322	0.8706475987342961	536
323	0.8733636871424579	506
324	0.8760808165428633	531
325	0.8787989869355117	516
326	0.8815181983204037	482
327	0.8842384506975389	517
328	0.8869597440669175	525
329	0.8896820784285393	519
330	0.8924054537824047	514
331	0.8951298701285131	474
332	0.8978553274668648	506
333	0.90058182579746	485
334	0.9033093651202986	475
335	0.9060379454353802	455
336	0.9087675667427055	497
337	0.9114982290422737	511
338	0.9142299323340857	498
339	0.9169626766181407	473
340	0.919696461894439	473
341	0.9224312881629808	501
342	0.9251671554237657	460
343	0.9279040636767941	486
344	0.9306420129220658	490
345	0.9333810031595808	476
346	0.9361210343893391	473
347	0.9388621066113407	445
348	0.9416042198255856	474
349	0.9443473740320738	466
350	0.9470915692308055	486
351	0.9498368054217805	460
352	0.9525830826049986	495
353	0.9553304007804602	493
354	0.958078759948165	467
355	0.9608281601081132	486
356	0.9635786012603047	483
357	0.9663300834047395	533
358	0.9690826065414178	480
359	0.9718361706703391	495
360	0.974590775791504	467
361	0.9773464219049119	508
362	0.9801031090105634	520
363	0.9828608371084582	483
364	0.9856196061985962	494
365	0.9883794162809776	459
366	0.9911402673556022	444
367	0.9939021594224704	469
368	0.9966650924815816	464
369	0.9994290665329364	523
370	1.0021940815765342	511
371	1.0049601376123756	460
372	1.0077272346404602	454
373	1.010495372660788	483
374	1.0132645516733594	438
375	1.016034771678174	467
376	1.0188060326752317	502
377	1.021578334664533	468
378	1.0243516776460775	487
379	1.0271260616198654	516
380	1.0299014865858964	486
381	1.0326779525441712	459
382	1.0354554594946888	477
383	1.03823400743745	459
384	1.0410135963724545	460
385	1.0437942262997022	509
386	1.0465758972191932	428
387	1.0493586091309277	442
388	1.0521423620349055	472
389	1.0549271559311264	473
390	1.0577129908195908	488
391	1.0604998667002985	508
392	1.0632877835732495	459
393	1.0660767414384438	499
394	1.0688667402958814	459
395	1.0716577801455625	507
396	1.0744498609874866	477
397	1.0772429828216543	461
398	1.0800371456480653	474
399	1.0828323494667194	440
400	1.0856285942776172	517
401	1.0884258800807578	480
402	1.0912242068761422	460
403	1.0940235746637696	433
404	1.0968239834436404	474
405	1.0996254332157547	456
406	1.102427923980112	467
407	1.1052314557367129	450
408	1.108036028485557	467
409	1.1108416422266445	490
410	1.1136482969599752	461
411	1.1164559926855493	459
412	1.1192647294033666	461
413	1.1220745071134273	455
414	1.1248853258157314	479
415	1.1276971855102789	433
416	1.1305100861970694	439
417	1.1333240278761034	437
418	1.1361390105473808	459
419	1.1389550342109014	452
420	1.1417720988666653	471
421	1.1445902045146725	489
422	1.1474093511549233	527
423	1.150229538787417	456
424	1.1530507674121542	458
425	1.1558730370291348	454
426	1.1586963476383587	462
427	1.161520699239826	467
428	1.1643460918335364	448
