Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.0
Upper Discriminator:	3
Lower Discriminator:	0
Calibration Coefficients:	5.204961216597666E-7	0.002380368409691405	0.0502018509354924
Calibration Channels:	244	430	486
Calibration Energies:	0.662	1.17	1.33
Elapsed Real Time:	112.51
Elapsed Live Time:	105.6
Start Time:	November 12, 2021, 04:38:06
End Time:	November 12, 2021, 04:39:59
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

2	769	852	29091	12501	41	2
3	151	201	56592	10589	25	0

Channel Data:
Channel	Energy	Counts
0	0.0502018509354924	0
1	0.05258273984130546	0
2	0.05496466973936184	1
3	0.05734764062966155	2
4	0.059731652512204574	1
5	0.06211670538699092	3
6	0.06450279925402058	8
7	0.06688993411329355	13
8	0.06927810996480986	11
9	0.07166732680856949	10
10	0.07405758464457242	16
11	0.07644888347281868	19
12	0.07884122329330825	17
13	0.08123460410604116	25
14	0.08362902591101737	25
15	0.08602448870823692	49
16	0.08842099249769977	120
17	0.09081853727940595	2616
18	0.09321712305335544	3695
19	0.09561674981954826	4281
20	0.0980174175779844	4498
21	0.10041912632866386	4329
22	0.10282187607158663	4234
23	0.10522566680675272	4549
24	0.10763049853416214	4763
25	0.11003637125381488	5050
26	0.11244328496571093	5081
27	0.1148512396698503	4602
28	0.11726023536623298	4347
29	0.119670272054859	4044
30	0.12208134973572833	3688
31	0.12449346840884098	3531
32	0.12690662807419695	3283
33	0.12932082873179623	3205
34	0.13173607038163887	2969
35	0.13415235302372477	2962
36	0.13656967665805403	2864
37	0.1389880412846266	2810
38	0.14140744690344248	2772
39	0.1438278935145017	2760
40	0.14624938111780422	2823
41	0.14867190971335006	2776
42	0.15109547930113923	2739
43	0.15352008988117172	2616
44	0.15594574145344753	2659
45	0.15837243401796663	2662
46	0.1608001675747291	2603
47	0.16322894212373484	2596
48	0.16565875766498395	2418
49	0.16808961419847634	2501
50	0.17052151172421207	2437
51	0.17295445024219108	2377
52	0.17538842975241348	2322
53	0.17782345025487914	2345
54	0.18025951174958812	2261
55	0.18269661423654046	2203
56	0.1851347577157361	2178
57	0.18757394218717505	2150
58	0.19001416765085732	2185
59	0.19245543410678295	2087
60	0.19489774155495185	1978
61	0.1973410899953641	2014
62	0.19978547942801966	1962
63	0.2022309098529185	2000
64	0.20467738127006072	1983
65	0.20712489367944623	2016
66	0.20957344708107506	1952
67	0.21202304147494722	1919
68	0.2144736768610627	2057
69	0.21692535323942147	2024
70	0.2193780706100236	2071
71	0.22183182897286902	1962
72	0.2242866283279578	2186
73	0.22674246867528985	2027
74	0.22919935001486524	2009
75	0.23165727234668396	1970
76	0.23411623567074596	1945
77	0.23657623998705132	1985
78	0.2390372852956	1812
79	0.24149937159639198	1829
80	0.24396249888942728	1801
81	0.24642666717470593	1739
82	0.24889187645222785	1677
83	0.2513581267219931	1632
84	0.2538254179840017	1598
85	0.2562937502382536	1548
86	0.25876312348474884	1534
87	0.2612335377234874	1521
88	0.26370499295446925	1514
89	0.26617748917769446	1376
90	0.26865102639316296	1440
91	0.27112560460087476	1410
92	0.2736012238008299	1405
93	0.27607788399302835	1331
94	0.27855558517747014	1286
95	0.28103432735415523	1343
96	0.2835141105230837	1252
97	0.2859949346842554	1287
98	0.2884767998376705	1237
99	0.2909597059833289	1225
100	0.29344365312123055	1255
101	0.2959286412513755	1179
102	0.2984146703737639	1264
103	0.3009017404883956	1189
104	0.30338985159527054	1158
105	0.3058790036943888	1151
106	0.3083691967857504	1124
107	0.3108604308693554	1156
108	0.31335270594520365	1104
109	0.3158460220132952	1075
110	0.3183403790736301	1071
111	0.3208357771262083	1108
112	0.3233322161710298	1008
113	0.3258296962080947	1030
114	0.32832821723740285	1011
115	0.33082777925895435	964
116	0.3333283822727492	1043
117	0.33583002627878733	1002
118	0.33833271127706877	1008
119	0.3408364372675935	962
120	0.3433412042503616	1047
121	0.345847012225373	998
122	0.34835386119262773	1001
123	0.3508617511521258	945
124	0.3533706821038672	972
125	0.35588065404785185	987
126	0.3583916669840798	965
127	0.3609037209125512	925
128	0.36341681583326585	971
129	0.3659309517462238	933
130	0.3684461286514251	977
131	0.3709623465488697	926
132	0.37347960543855757	925
133	0.3759979053204888	988
134	0.3785172461946634	990
135	0.3810376280610813	909
136	0.3835590509197425	941
137	0.38608151477064706	1030
138	0.38860501961379484	953
139	0.391129565449186	941
140	0.3936551522768205	930
141	0.3961817800966983	994
142	0.39870944890881943	964
143	0.40123815871318386	942
144	0.40376790950979163	947
145	0.40629870129864265	1029
146	0.4088305340797371	1002
147	0.4113634078530748	959
148	0.41389732261865586	978
149	0.4164322783764802	996
150	0.4189682751265479	938
151	0.42150531286885884	948
152	0.42404339160341314	960
153	0.4265825113302108	982
154	0.42912267204925175	960
155	0.43166387376053605	1018
156	0.43420611646406365	1045
157	0.4367494001598345	990
158	0.43929372484784873	1046
159	0.4418390905281063	1006
160	0.4443854972006072	965
161	0.4469329448653514	1008
162	0.44948143352233894	1074
163	0.45203096317156977	1064
164	0.45458153381304384	1055
165	0.4571331454467613	1049
166	0.45968579807272214	1117
167	0.46223949169092626	1107
168	0.4647942263013737	1134
169	0.46735000190406445	1081
170	0.46990681849899846	1115
171	0.4724646760861758	1143
172	0.4750235746655966	1156
173	0.4775835142372606	1139
174	0.48014449480116794	1132
175	0.4827065163573186	1124
176	0.48526957890571254	1203
177	0.48783368244634984	1142
178	0.4903988269792305	1173
179	0.4929650125043544	1267
180	0.4955322390217217	1217
181	0.4981005065313323	1297
182	0.5006698150331862	1280
183	0.5032401645272834	1251
184	0.505811555013624	1363
185	0.5083839864922077	1288
186	0.510957458963035	1304
187	0.5135319724261055	1273
188	0.5161075268814193	1239
189	0.5186841223289764	1312
190	0.5212617587687769	1250
191	0.5238404362008207	1224
192	0.5264201546251077	1199
193	0.5290009140416382	1173
194	0.5315827144504119	1127
195	0.534165555851429	1073
196	0.5367494382446893	965
197	0.539334361630193	955
198	0.54192032600794	930
199	0.5445073313779304	882
200	0.547095377740164	963
201	0.5496844650946411	824
202	0.5522745934413613	784
203	0.5548657627803248	748
204	0.5574579731115319	727
205	0.560051224434982	763
206	0.5626455167506756	762
207	0.5652408500586126	711
208	0.5678372243587928	746
209	0.5704346396512163	802
210	0.5730330959358831	744
211	0.5756325932127933	730
212	0.5782331314819467	726
213	0.5808347107433436	780
214	0.5834373309969836	761
215	0.5860409922428671	705
216	0.5886456944809939	747
217	0.591251437711364	704
218	0.5938582219339774	763
219	0.5964660471488341	759
220	0.5990749133559341	778
221	0.6016848205552776	707
222	0.6042957687468642	779
223	0.6069077579306943	795
224	0.6095207881067675	765
225	0.6121348592750842	796
226	0.6147499714356441	762
227	0.6173661245884474	762
228	0.619983318733494	814
229	0.6226015538707839	753
230	0.6252208300003173	780
231	0.6278411471220937	821
232	0.6304625052361137	768
233	0.6330849043423767	727
234	0.6357083444408833	777
235	0.6383328255316332	806
236	0.6409583476146263	768
237	0.6435849106898628	731
238	0.6462125147573425	725
239	0.6488411598170658	770
240	0.6514708458690321	695
241	0.654101572913242	769
242	0.6567333409496949	739
243	0.6593661499783914	724
244	0.6619999999993311	695
245	0.6646348910125139	717
246	0.6672708230179405	716
247	0.6699077960156101	686
248	0.672545810005523	713
249	0.6751848649876795	639
250	0.677824960962079	636
251	0.680466097928722	660
252	0.6831082758876081	736
253	0.6857514948387378	698
254	0.6883957547821107	688
255	0.6910410557177269	674
256	0.6936873976455864	645
257	0.6963347805656894	654
258	0.6989832044780355	673
259	0.7016326693826249	636
260	0.7042831752794578	679
261	0.706934722168534	619
262	0.7095873100498535	607
263	0.7122409389234163	621
264	0.7148956087892224	658
265	0.7175513196472718	626
266	0.7202080714975645	623
267	0.7228658643401007	661
268	0.72552469817488	622
269	0.7281845730019025	631
270	0.7308454888211686	665
271	0.733507445632678	617
272	0.7361704434364307	602
273	0.7388344822324266	619
274	0.7414995620206659	663
275	0.7441656828011485	609
276	0.7468328445738746	587
277	0.7495010473388437	635
278	0.7521702910960564	621
279	0.7548405758455123	576
280	0.7575119015872114	595
281	0.7601842683211539	581
282	0.7628576760473398	583
283	0.7655321247657689	566
284	0.7682076144764416	619
285	0.7708841451793573	564
286	0.7735617168745166	567
287	0.7762403295619189	532
288	0.7789199832415648	530
289	0.7816006779134537	562
290	0.7842824135775861	530
291	0.7869651902339618	552
292	0.7896490078825809	542
293	0.7923338665234434	510
294	0.795019766156549	584
295	0.7977067067818979	537
296	0.8003946883994904	505
297	0.8030837110093259	499
298	0.8057737746114051	497
299	0.8084648792057272	524
300	0.8111570247922928	515
301	0.8138502113711017	561
302	0.8165444389421539	542
303	0.8192397075054496	493
304	0.8219360170609884	506
305	0.8246333676087707	523
306	0.8273317591487961	487
307	0.830031191681065	493
308	0.8327316652055772	523
309	0.8354331797223327	515
310	0.8381357352313314	531
311	0.8408393317325735	492
312	0.8435439692260591	519
313	0.8462496477117878	524
314	0.8489563671897598	497
315	0.8516641276599752	505
316	0.854372929122434	535
317	0.8570827715771361	513
318	0.8597936550240814	525
319	0.8625055794632701	496
320	0.8652185448947021	482
321	0.8679325513183773	449
322	0.8706475987342961	485
323	0.8733636871424579	497
324	0.8760808165428633	421
325	0.8787989869355117	484
326	0.8815181983204037	459
327	0.8842384506975389	446
328	0.8869597440669175	446
329	0.8896820784285393	464
330	0.8924054537824047	458
331	0.8951298701285131	456
332	0.8978553274668648	466
333	0.90058182579746	446
334	0.9033093651202986	454
335	0.9060379454353802	426
336	0.9087675667427055	448
337	0.9114982290422737	424
338	0.9142299323340857	449
339	0.9169626766181407	449
340	0.919696461894439	433
341	0.9224312881629808	411
342	0.9251671554237657	426
343	0.9279040636767941	418
344	0.9306420129220658	443
345	0.9333810031595808	453
346	0.9361210343893391	426
347	0.9388621066113407	419
348	0.9416042198255856	464
349	0.9443473740320738	440
350	0.9470915692308055	403
351	0.9498368054217805	433
352	0.9525830826049986	394
353	0.9553304007804602	392
354	0.958078759948165	393
355	0.9608281601081132	381
356	0.9635786012603047	416
357	0.9663300834047395	420
358	0.9690826065414178	400
359	0.9718361706703391	428
360	0.974590775791504	427
361	0.9773464219049119	428
362	0.9801031090105634	412
363	0.9828608371084582	431
364	0.9856196061985962	408
365	0.9883794162809776	421
366	0.9911402673556022	420
367	0.9939021594224704	455
368	0.9966650924815816	450
369	0.9994290665329364	403
370	1.0021940815765342	386
371	1.0049601376123756	405
372	1.0077272346404602	422
373	1.010495372660788	404
374	1.0132645516733594	410
375	1.016034771678174	408
376	1.0188060326752317	430
377	1.021578334664533	394
378	1.0243516776460775	405
379	1.0271260616198654	421
380	1.0299014865858964	399
381	1.0326779525441712	399
382	1.0354554594946888	408
383	1.03823400743745	416
384	1.0410135963724545	445
385	1.0437942262997022	407
386	1.0465758972191932	441
387	1.0493586091309277	402
388	1.0521423620349055	427
389	1.0549271559311264	412
390	1.0577129908195908	428
391	1.0604998667002985	373
392	1.0632877835732495	376
393	1.0660767414384438	404
394	1.0688667402958814	418
395	1.0716577801455625	410
396	1.0744498609874866	421
397	1.0772429828216543	407
398	1.0800371456480653	420
399	1.0828323494667194	424
400	1.0856285942776172	400
401	1.0884258800807578	408
402	1.0912242068761422	402
403	1.0940235746637696	382
404	1.0968239834436404	398
405	1.0996254332157547	408
406	1.102427923980112	385
407	1.1052314557367129	417
408	1.108036028485557	401
409	1.1108416422266445	416
410	1.1136482969599752	399
411	1.1164559926855493	407
412	1.1192647294033666	389
413	1.1220745071134273	396
414	1.1248853258157314	406
415	1.1276971855102789	405
416	1.1305100861970694	404
417	1.1333240278761034	420
418	1.1361390105473808	408
419	1.1389550342109014	399
420	1.1417720988666653	376
421	1.1445902045146725	363
422	1.1474093511549233	408
423	1.150229538787417	410
424	1.1530507674121542	386
425	1.1558730370291348	392
426	1.1586963476383587	394
427	1.161520699239826	379
428	1.1643460918335364	403
429	1.1671725254194902	417
430	1.1699999999976873	401
431	1.1728285155681277	371
