# col2: neck radius (px) at frame [row]. Real data through frame 14 or 15. pinch-off at frame 18.
1.133000000000000000e+03 5.100000000000000000e+01 5.900000000000000000e+01 1.100000000000000000e+02 5.300000000000000000e+01
1.139000000000000000e+03 4.800000000000000000e+01 6.100000000000000000e+01 1.090000000000000000e+02 6.000000000000000000e+01
1.296000000000000000e+03 4.600000000000000000e+01 6.200000000000000000e+01 1.080000000000000000e+02 7.900000000000000000e+01
1.205000000000000000e+03 4.300000000000000000e+01 6.400000000000000000e+01 1.070000000000000000e+02 8.900000000000000000e+01
1.558000000000000000e+03 3.900000000000000000e+01 6.500000000000000000e+01 1.040000000000000000e+02 1.080000000000000000e+02
1.647000000000000000e+03 3.800000000000000000e+01 6.700000000000000000e+01 1.050000000000000000e+02 1.100000000000000000e+02
1.743000000000000000e+03 3.300000000000000000e+01 6.800000000000000000e+01 1.010000000000000000e+02 1.330000000000000000e+02
2.013000000000000000e+03 3.200000000000000000e+01 6.800000000000000000e+01 1.000000000000000000e+02 1.310000000000000000e+02
2.157000000000000000e+03 2.700000000000000000e+01 7.100000000000000000e+01 9.800000000000000000e+01 1.450000000000000000e+02
2.445000000000000000e+03 2.600000000000000000e+01 7.200000000000000000e+01 9.800000000000000000e+01 1.410000000000000000e+02
2.746000000000000000e+03 2.200000000000000000e+01 7.300000000000000000e+01 9.500000000000000000e+01 1.640000000000000000e+02
3.132000000000000000e+03 1.700000000000000000e+01 7.600000000000000000e+01 9.300000000000000000e+01 1.830000000000000000e+02
3.091000000000000000e+03 1.400000000000000000e+01 7.700000000000000000e+01 9.100000000000000000e+01 1.770000000000000000e+02
3.434000000000000000e+03 1.300000000000000000e+01 7.700000000000000000e+01 9.000000000000000000e+01 2.050000000000000000e+02
3.698000000000000000e+03 9.000000000000000000e+00 7.800000000000000000e+01 8.700000000000000000e+01 2.190000000000000000e+02
3.851000000000000000e+03 5.000000000000000000e+00 8.100000000000000000e+01 8.600000000000000000e+01 1.650000000000000000e+02
3.879000000000000000e+03 8.000000000000000000e+00 7.700000000000000000e+01 8.500000000000000000e+01 2.290000000000000000e+02
4.272000000000000000e+03 0.000000000000000000e+00 8.900000000000000000e+01 8.900000000000000000e+01 1.420000000000000000e+02
4.469000000000000000e+03 0.000000000000000000e+00 7.100000000000000000e+01 7.100000000000000000e+01 2.480000000000000000e+02
4.528000000000000000e+03 0.000000000000000000e+00 8.200000000000000000e+01 8.200000000000000000e+01 1.750000000000000000e+02
4.529000000000000000e+03 0.000000000000000000e+00 7.400000000000000000e+01 7.400000000000000000e+01 2.070000000000000000e+02
4.570000000000000000e+03 0.000000000000000000e+00 7.400000000000000000e+01 7.400000000000000000e+01 2.560000000000000000e+02
4.498000000000000000e+03 0.000000000000000000e+00 8.200000000000000000e+01 8.200000000000000000e+01 1.180000000000000000e+02
4.532000000000000000e+03 0.000000000000000000e+00 8.200000000000000000e+01 8.200000000000000000e+01 2.830000000000000000e+02
4.601000000000000000e+03 0.000000000000000000e+00 7.800000000000000000e+01 7.800000000000000000e+01 2.010000000000000000e+02
